"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jalen McMillan","TB","17.9","224.7","2.3","1.4","11.0","0.0","0.4","54.4"
"Tyler Johnson","NYJ","21.5","227.5","1.7","0.0","0.0","0.0","0.0","54.3"
"KaVontae Turpin","DAL","17.0","206.0","1.4","8.4","58.5","0.5","0.7","53.5"
"Jamari Thrash","CLE","21.0","251.4","1.2","0.0","0.0","0.0","0.2","53.2"
"Chimere Dike","TEN","18.4","222.9","1.6","2.1","8.9","0.0","0.1","51.2"
"Luke McCaffrey","WAS","19.7","206.6","1.5","0.0","1.0","0.0","0.1","49.3"
"Jermaine Burton","CIN","15.8","205.9","2.0","0.0","2.0","0.0","0.1","48.2"
"Demarcus Robinson","SF","13.9","217.8","1.9","0.0","0.8","0.0","0.0","47.3"
"Kendrick Bourne","NE","16.9","195.1","1.0","1.1","6.8","0.0","0.0","43.1"
"Zay Jones","ARI","16.8","179.9","1.3","0.0","2.0","0.0","0.1","42.5"
"Skyy Moore","SF","15.5","185.2","1.4","0.0","0.0","0.0","0.0","42.3"
"Jahan Dotson","PHI","14.6","176.4","1.3","0.0","1.7","0.0","0.0","40.1"
"A.T. Perry","DEN","13.5","176.5","1.4","0.0","0.0","0.0","0.0","39.7"
"Kalif Raymond","DET","14.7","184.2","1.2","0.0","4.0","0.0","0.6","39.4"
"Elijah Moore","BUF","14.5","160.1","1.2","0.0","1.3","0.0","0.0","37.9"
"Xavier Hutchinson","HOU","14.6","171.9","1.0","0.0","0.0","0.0","0.1","37.5"
"Isaiah Bond","CLE","13.8","171.9","1.1","0.0","0.0","0.0","0.0","37.4"
"KhaDarel Hodge","ATL","13.5","176.6","1.0","0.0","0.0","0.0","0.1","37.1"
"Jalen Royals","KC","12.9","156.2","1.2","0.0","2.5","0.0","0.0","35.7"
"Russell Gage Jr.","SF","13.0","145.4","1.0","0.0","0.0","0.0","0.0","33.6"
"Jalin Hyatt","NYG","12.1","160.6","0.8","0.0","0.0","0.0","0.0","33.2"
"Isaac TeSlaa","DET","10.7","155.2","1.1","0.0","0.0","0.0","0.0","33.0"
"Casey Washington","ATL","11.3","135.6","1.0","0.0","0.0","0.0","0.0","30.9"
"Jake Bobo","SEA","11.5","132.6","0.9","0.0","0.0","0.0","0.0","29.8"
"Jaylin Lane","WAS","10.4","120.3","0.8","2.2","13.5","0.1","0.1","29.2"
