"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jonnu Smith","PIT","TE22","0.0","1.5","0.0","50.4","522.8","3.8","0.9","123.7"
"Darren Waller","MIA","TE23","0.0","0.0","0.0","49.5","545.9","3.2","0.1","122.9"
"Joshua Palmer","BUF","WR67","0.0","0.5","0.0","42.1","588.8","3.5","0.1","122.0"
"Mike Gesicki","CIN","TE24","0.0","0.0","0.0","51.0","502.7","3.4","0.4","120.9"
"Brandon Aiyuk","SF","WR68","1.1","4.8","0.0","40.0","611.9","3.2","0.5","120.3"
"Michael Wilson","ARI","WR69","1.9","8.9","0.1","43.8","525.1","3.9","0.5","120.2"
"Isaiah Likely","BAL","TE25","0.0","0.0","0.0","41.4","491.0","4.8","0.7","118.0"
"Dalton Schultz","HOU","TE26","0.0","0.0","0.0","48.7","502.4","3.1","0.4","116.9"
"Cam Skattebo","NYG","RB43","122.4","522.3","3.2","23.8","184.8","0.9","1.2","116.8"
"Pat Freiermuth","PIT","TE27","0.0","0.0","0.0","49.9","480.4","3.3","0.9","116.1"
"Tank Bigsby","JAC","RB44","160.7","654.4","5.2","12.0","87.0","0.2","1.2","116.1"
"Juwan Johnson","NO","TE28","0.0","0.0","0.0","47.4","487.5","3.2","0.2","115.1"
"Tre' Harris","LAC","WR70","0.7","3.8","0.0","40.8","544.2","3.4","0.7","114.7"
"Calvin Austin III","PIT","WR71","2.3","11.8","0.1","39.6","529.0","3.4","0.5","113.2"
"Ray-Ray McCloud III","ATL","WR72","7.5","52.8","0.2","44.5","486.5","2.6","1.2","112.3"
"Mason Taylor","NYJ","TE29","0.0","0.0","0.0","48.1","484.9","2.7","0.8","111.4"
"Dylan Sampson","CLE","RB45","120.4","504.7","2.6","22.9","178.4","0.9","0.8","111.1"
"Tyler Higbee","LAR","TE30","0.0","0.0","0.0","45.3","424.9","3.7","0.1","109.7"
"Nick Chubb","HOU","RB46","129.9","554.9","4.8","11.4","86.6","0.9","0.5","109.0"
"Theo Johnson","NYG","TE31","0.0","0.0","0.0","43.5","478.1","2.7","0.1","107.3"
"Dyami Brown","JAC","WR73","0.7","6.8","0.0","39.2","504.4","2.8","0.5","106.3"
"Alec Pierce","IND","WR74","0.0","0.0","0.0","31.3","539.0","3.5","0.1","105.8"
"Jaydon Blue","DAL","RB47","108.6","480.5","2.9","20.6","161.7","0.8","0.8","105.5"
"Quentin Johnston","LAC","WR75","1.7","7.2","0.0","34.6","453.7","4.1","0.4","104.7"
"Darius Slayton","NYG","WR76","1.4","6.4","0.0","35.6","534.0","2.5","0.2","104.5"
"Tutu Atwell","LAR","WR77","4.3","20.2","0.1","39.1","497.2","2.2","0.1","104.3"
"Trey Benson","ARI","RB48","127.6","567.7","3.7","13.7","105.2","0.4","0.9","104.2"
"Josh Reynolds","NYJ","WR78","0.0","0.0","0.0","36.4","477.4","3.0","0.1","101.6"
"Najee Harris","LAC","RB49","118.3","464.0","3.7","17.1","125.4","0.6","0.8","100.3"
"Elijah Arroyo","SEA","TE32","0.0","0.0","0.0","40.0","423.3","2.8","0.4","98.4"
"Kyle Williams","NE","WR79","2.1","13.3","0.0","35.5","454.4","2.7","0.4","97.6"
"Tyler Allgeier","ATL","RB50","119.8","549.3","3.3","12.6","92.3","0.3","0.8","96.9"
"DeAndre Hopkins","BAL","WR80","0.0","0.5","0.0","32.0","412.1","3.9","0.1","96.6"
"Nick Westbrook-Ikhine","MIA","WR81","0.0","1.3","0.0","31.4","427.4","3.7","0.1","96.1"
"Jalen Tolbert","DAL","WR82","0.0","0.0","0.0","34.6","404.1","3.5","0.1","96.0"
"Ray Davis","BUF","RB51","109.2","467.3","3.5","12.4","105.5","1.0","0.8","95.0"
"Rico Dowdle","CAR","RB52","85.2","390.2","2.2","22.2","151.7","1.1","0.8","94.4"
"Braelon Allen","NYJ","RB53","115.2","437.3","3.0","16.5","123.6","0.8","0.4","94.4"
"Brandin Cooks","NO","WR83","1.7","3.8","0.0","35.6","404.1","2.8","0.1","92.7"
"Will Dissly","LAC","TE33","0.0","0.0","0.0","38.6","378.0","2.5","0.1","91.6"
"Jaylen Wright","MIA","RB54","127.9","489.4","3.2","13.4","92.0","0.6","1.2","91.5"
"Andrei Iosivas","CIN","WR84","0.0","0.0","0.0","31.4","380.6","3.7","0.1","91.2"
"Kareem Hunt","KC","RB55","81.2","321.5","3.3","20.1","140.3","0.8","0.1","90.6"
"Noah Fant","CIN","TE34","0.0","0.0","0.0","37.2","380.9","2.4","0.1","89.9"
"Jordan Whittington","LAR","WR85","1.1","13.9","0.0","34.1","397.8","2.4","0.1","89.8"
"Ja'Tavion Sanders","CAR","TE35","0.0","0.0","0.0","38.5","389.3","2.1","0.1","89.6"
"Bhayshul Tuten","JAC","RB56","89.2","389.2","2.7","17.3","136.9","0.8","0.8","89.6"
"Jalen Nailor","MIN","WR86","1.8","4.1","0.0","29.2","382.1","3.5","0.4","88.2"
"Woody Marks","HOU","RB57","73.8","275.4","1.8","24.9","182.0","1.1","0.1","87.8"
"Tory Horton","SEA","WR87","1.0","8.7","0.0","33.4","424.6","2.1","0.7","87.6"
"Tre Tucker","LV","WR88","5.6","31.5","0.3","30.2","385.0","2.2","0.1","87.0"
"Jalen Coker","CAR","WR89","0.0","2.3","0.0","31.8","416.6","2.0","0.1","85.6"
"Troy Franklin","DEN","WR90","1.1","6.1","0.0","30.2","375.4","2.8","0.1","85.2"
"Justice Hill","BAL","RB58","41.8","184.9","1.1","27.3","221.9","1.7","0.4","83.9"
"Noah Brown","WAS","WR91","0.0","0.0","0.0","31.8","406.6","1.9","0.1","83.6"
"Jack Bech","LV","WR92","0.0","2.5","0.0","31.1","390.3","2.2","0.1","83.3"
"MarShawn Lloyd","GB","RB59","105.7","381.3","2.9","13.5","108.4","0.7","0.8","82.7"
"Roschon Johnson","CHI","RB60","86.2","300.1","4.2","14.7","98.5","0.4","0.1","82.3"
"Kayshon Boutte","NE","WR93","0.0","0.0","0.0","28.3","379.7","2.4","0.1","80.4"
"Tyler Conklin","LAC","TE36","0.0","0.0","0.0","33.5","325.7","2.3","0.0","79.7"
"Pat Bryant","DEN","WR94","0.0","0.0","0.0","29.1","351.4","2.6","0.1","79.6"
"Adonai Mitchell","IND","WR95","2.9","9.5","0.1","28.4","372.4","2.2","0.4","79.1"
"Dontayvion Wicks","GB","WR96","0.0","1.3","0.0","26.9","340.0","3.0","0.0","79.1"
"Marquez Valdes-Scantling","SEA","WR97","2.7","10.4","0.1","23.9","394.2","2.3","0.0","78.7"
"Elic Ayomanor","TEN","WR98","0.0","5.7","0.0","29.4","357.3","2.1","0.1","77.9"
"AJ Barner","SEA","TE37","0.0","0.0","0.0","32.7","305.0","2.4","0.1","77.5"
