Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST
273,Ke'Shawn Williams (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
274,Tyler Kahmann (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
275,Landon Parker (IND),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
276,Jordan Moore (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
277,Tommy Mellott (LV),0,0,0,0,0,0,0,0,0,0,0,0,0.6%
278,Junior Bergen (SF),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
279,Hal Presley (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
280,Jaylen Jones (LAC),0,0,0,0,0,0,0,0,0,0,0,0,1.0%
281,Jerjuan Newton (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
282,Courtney Jackson (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
283,Bryson Green (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
284,Luke Grimm (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
285,Mac Dalena (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
286,Brennan Presley (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
287,Kyle Williams (NE),0,0,0,0,0,0,0,0,0,0,0,0,20.7%
288,Key'Shawn Smith (KC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
289,Dalevon Campbell (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
290,Cade McDonald (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
291,Ife Adeyi (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
292,Jahmal Banks (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
293,Jeremiah Webb (NE),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
294,Xavier Guillory (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
295,Tyrone Broden (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
296,Darius Lassiter (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
297,Myles Price (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0.0%
