POS_RANK,NAME,POS,NUMBER,OFF_GRADE,PASS_GRADE,RUN_GRADE,RECV_GRADE,PBLK_GRADE,RBLK_GRADE,OFF_SNAPS,PASS_SNAPS,RUN_SNAPS,RECV_SNAPS,PBLK_SNAPS,RBLK_SNAPS,AGE,RS,HEIGHT,WEIGHT,SP,COLLEGE,YEAR,R#,D#
-,Malik Davis,HB,21,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"5'10""",202,-,FLORIDA,2022,-,-
-,Deuce Vaughn,HB,42,59.0,-,59.6,64.3,25.6,60.2,52,-,17,24,5,6,23.8,A,"5'5""",176,-,KANSAS ST,2023,6,214
-,Phil Mafah,HB,37,-,-,-,-,-,-,-,-,-,-,-,-,22.8,A,"6'1""",230,-,CLEMSON,2025,7,241
-,Jaydon Blue,HB,34,-,-,-,-,-,-,-,-,-,-,-,-,21.6,A,"5'9""",196,-,TEXAS,2025,5,150
-,Miles Sanders,HB,27,68.0,-,76.1,57.6,38.2,58.1,224,-,56,135,24,9,28.3,A,"5'11""",210,-,PENN STATE,2019,2,53
50th of 59,Javonte Williams,HB,33,61.7,-,60.5,63.7,66.4,42.3,604,-,151,320,110,23,25.3,A,"5'10""",220,-,N CAROLINA,2021,2,35
5th of 9,Hunter Luepke,FB,40,54.0,-,63.6,55.1,69.3,43.0,328,-,12,171,52,93,25.4,A,"6'1""",238,-,N DAK ST,2023,-,-
-,Princeton Fant,TE,85,61.5,-,-,60.4,62.1,58.9,15,-,-,3,2,10,26.4,A,"6'2""",235,-,TENNESSEE,2023,-,-
59th of 74,Brevyn Spann-Ford,TE,89,53.7,-,-,53.9,71.1,55.4,304,-,-,135,13,156,25.6,A,"6'7""",270,-,MINNESOTA,2024,-,-
-,John Stephens Jr.,TE,49,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'5""",221,-,LA LAFAYET,2023,-,-
-,Rivaldo Fairweather,TE,45,-,-,-,-,-,-,-,-,-,-,-,-,23.1,A,"6'4""",252,-,AUBURN,2025,-,-
-,Tyler Neville,TE,46,-,-,-,-,-,-,-,-,-,-,-,-,0.0,A,"6'4""",248,-,VIRGINIA,2025,-,-
48th of 74,Luke Schoonmaker,TE,86,58.2,-,-,67.6,51.8,39.8,411,-,-,197,20,194,26.9,A,"6'5""",250,4.6,MICHIGAN,2023,2,58
56th of 74,Jake Ferguson,TE,87,54.5,-,-,56.6,49.7,57.2,614,-,-,414,20,180,26.5,A,"6'5""",244,-,WISCONSIN,2022,4,129
15th of 40,Cooper Beebe,C,56,65.4,-,-,-,60.3,66.1,1059,-,-,-,692,367,24.2,A,"6'4""",335,-,KANSAS ST,2024,3,73
-,Nick Broeker,G,68,64.3,-,-,-,12.5,50.8,6,-,-,-,1,5,24.8,A,"6'4""",305,5.3,OLE MISS,2023,7,232
-,T.J. Bass,G,66,63.0,-,-,-,45.0,70.5,315,-,-,-,200,115,26.4,A,"6'4""",325,5.5,OREGON,2023,-,-
26th of 77,Brock Hoffman,G,67,66.3,-,-,-,62.1,68.9,515,-,-,-,286,229,0.0,A,"6'3""",302,-,VA TECH,2022,-,-
-,Tyler Booker,G,52,-,-,-,-,-,-,-,-,-,-,-,-,21.3,A,"6'5""",325,-,ALABAMA,2025,1,12
-,Saahidiq Charles,G,77,-,-,-,-,-,-,-,-,-,-,-,-,26.0,A,"6'4""",322,-,LSU,2020,4,108
58th of 77,Robert Jones,G,65,58.1,-,-,-,54.3,56.3,1080,-,-,-,676,404,26.5,IR,"6'4""",334,-,MIDDLE TN,2021,-,-
