Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
286,Arizona Cardinals DST,ARI,DST,17,8,,100.69,,No,Partial Data
234,Brandin Cooks,NO,WR,78,11,170.0,100.3,,No,Partial Data
288,Jason Sanders,MIA,K,18,12,199.81,140.06,,No,Partial Data
119,Chicago Bears DST,CHI,DST,6,5,168.7,99.1,,No,Partial Data
397,Jordan James,SF,RB,100,14,170.1,43.29,1,No,Complete
235,Ray-Ray McCloud III,ATL,WR,79,5,170.0,82.83,,No,Partial Data
292,Cairo Santos,CHI,K,19,5,300,132.54,,No,Partial Data
293,New York Jets DST,NYJ,DST,19,9,,99.53,,No,Partial Data
176,Woody Marks,HOU,RB,45,6,169.9,43.45,2,No,Complete
129,Daniel Carlson,LV,K,7,8,169.1,135.93,,No,Partial Data
177,Tim Patrick,DET,WR,58,8,169.9,63.27,,No,Partial Data
297,New York Giants DST,NYG,DST,20,14,,100.82,,No,Partial Data
236,Justice Hill,BAL,RB,55,7,170.0,46.13,2,No,Complete
414,Allen Lazard,NYJ,WR,164,9,170.2,50.11,1,No,Complete
178,Isaac TeSlaa,DET,WR,59,8,169.9,56.27,,No,Partial Data
398,Elijah Mitchell,KC,RB,101,10,170.1,65.19,,No,Partial Data
415,Tre Tucker,LV,WR,165,8,170.2,83.56,,No,Partial Data
237,Elic Ayomanor,TEN,WR,80,10,170.0,90.78,1,No,Complete
399,Devin Singletary,NYG,RB,102,14,170.1,48.46,,No,Partial Data
238,Xavier Hutchinson,HOU,WR,81,6,170.0,5.53,,No,Partial Data
239,Sean Tucker,TB,RB,56,9,170.0,37.18,1,No,Complete
240,Jaleel McLaughlin,DEN,RB,57,12,170.0,36.5,,No,Partial Data
241,Parker Washington,JAX,WR,82,8,170.0,76.76,,No,Partial Data
242,Ollie Gordon II,MIA,RB,58,12,170.0,57.53,1,No,Complete
243,Antonio Gibson,NE,RB,59,14,170.0,40.96,,No,Partial Data
244,Zamir White,LV,RB,60,8,170.0,34.17,,No,Partial Data
245,Cam Akers,NO,RB,61,11,170.0,42.8,,No,Partial Data
246,Ty Johnson,BUF,RB,62,7,170.0,52.95,1,No,Complete
247,Demarcus Robinson,SF,WR,83,14,170.0,42.62,,No,Partial Data
400,Samaje Perine,CIN,RB,103,10,170.1,31.88,,No,Partial Data
179,Luke McCaffrey,WAS,WR,60,12,169.9,43.04,,No,Partial Data
248,Dameon Pierce,HOU,RB,63,6,170.0,49.91,,No,Partial Data
401,Chris Brooks,GB,RB,104,5,170.1,27.62,,No,Partial Data
249,Savion Williams,GB,WR,84,5,170.0,47.63,,No,Partial Data
402,Jalen Tolbert,DAL,WR,161,10,170.1,92.21,1,No,Complete
250,Craig Reynolds,DET,RB,64,8,170.0,24.9,,No,Partial Data
251,LeQuint Allen,JAX,RB,65,8,170.0,10.72,,No,Partial Data
252,Troy Franklin,DEN,WR,85,12,170.0,35.15,,No,Partial Data
148,Jalen McMillan,TB,WR,50,9,169.6,63.27,2,No,Complete
159,Jahan Dotson,PHI,WR,52,9,169.8,60.73,,No,Partial Data
