Player,Team,POS,ATT,YDS,TDS,REC,FL,FPTS
Dyami Brown,JAC,WR73,0.7,504.4,2.8,39.2,0.5,106.3
Alec Pierce,IND,WR74,0.0,539.0,3.5,31.3,0.1,105.8
Jaydon Blue,DAL,RB47,108.6,161.7,0.8,20.6,0.8,105.5
Quentin Johnston,LAC,WR75,1.7,453.7,4.1,34.6,0.4,104.7
Darius Slayton,NYG,WR76,1.4,534.0,2.5,35.6,0.2,104.5
Tutu Atwell,LAR,WR77,4.3,497.2,2.2,39.1,0.1,104.3
Trey Benson,ARI,RB48,127.6,105.2,0.4,13.7,0.9,104.2
Josh Reynolds,NYJ,WR78,0.0,477.4,3.0,36.4,0.1,101.6
Najee Harris,LAC,RB49,118.3,125.4,0.6,17.1,0.8,100.3
Elijah Arroyo,SEA,TE32,0.0,423.3,2.8,40.0,0.4,98.4
Kyle Williams,NE,WR79,2.1,454.4,2.7,35.5,0.4,97.6
Tyler Allgeier,ATL,RB50,119.8,92.3,0.3,12.6,0.8,96.9
DeAndre Hopkins,BAL,WR80,0.0,412.1,3.9,32.0,0.1,96.6
Nick Westbrook-Ikhine,MIA,WR81,0.0,427.4,3.7,31.4,0.1,96.1
Jalen Tolbert,DAL,WR82,0.0,404.1,3.5,34.6,0.1,96.0
Ray Davis,BUF,RB51,109.2,105.5,1.0,12.4,0.8,95.0
Rico Dowdle,CAR,RB52,85.2,151.7,1.1,22.2,0.8,94.4
Braelon Allen,NYJ,RB53,115.2,123.6,0.8,16.5,0.4,94.4
Brandin Cooks,NO,WR83,1.7,404.1,2.8,35.6,0.1,92.7
Will Dissly,LAC,TE33,0.0,378.0,2.5,38.6,0.1,91.6
Jaylen Wright,MIA,RB54,127.9,92.0,0.6,13.4,1.2,91.5
Andrei Iosivas,CIN,WR84,0.0,380.6,3.7,31.4,0.1,91.2
Kareem Hunt,KC,RB55,81.2,140.3,0.8,20.1,0.1,90.6
Noah Fant,CIN,TE34,0.0,380.9,2.4,37.2,0.1,89.9
Jordan Whittington,LAR,WR85,1.1,397.8,2.4,34.1,0.1,89.8
Ja'Tavion Sanders,CAR,TE35,0.0,389.3,2.1,38.5,0.1,89.6
Bhayshul Tuten,JAC,RB56,89.2,136.9,0.8,17.3,0.8,89.6
Jalen Nailor,MIN,WR86,1.8,382.1,3.5,29.2,0.4,88.2
Woody Marks,HOU,RB57,73.8,182.0,1.1,24.9,0.1,87.8
Tory Horton,SEA,WR87,1.0,424.6,2.1,33.4,0.7,87.6
Tre Tucker,LV,WR88,5.6,385.0,2.2,30.2,0.1,87.0
Jalen Coker,CAR,WR89,0.0,416.6,2.0,31.8,0.1,85.6
Troy Franklin,DEN,WR90,1.1,375.4,2.8,30.2,0.1,85.2
Justice Hill,BAL,RB58,41.8,221.9,1.7,27.3,0.4,83.9
Noah Brown,WAS,WR91,0.0,406.6,1.9,31.8,0.1,83.6
Jack Bech,LV,WR92,0.0,390.3,2.2,31.1,0.1,83.3
MarShawn Lloyd,GB,RB59,105.7,108.4,0.7,13.5,0.8,82.7
Roschon Johnson,CHI,RB60,86.2,98.5,0.4,14.7,0.1,82.3
Kayshon Boutte,NE,WR93,0.0,379.7,2.4,28.3,0.1,80.4
Tyler Conklin,LAC,TE36,0.0,325.7,2.3,33.5,0.0,79.7
Pat Bryant,DEN,WR94,0.0,351.4,2.6,29.1,0.1,79.6
Adonai Mitchell,IND,WR95,2.9,372.4,2.2,28.4,0.4,79.1
Dontayvion Wicks,GB,WR96,0.0,340.0,3.0,26.9,0.0,79.1
Marquez Valdes-Scantling,SEA,WR97,2.7,394.2,2.3,23.9,0.0,78.7
Elic Ayomanor,TEN,WR98,0.0,357.3,2.1,29.4,0.1,77.9
AJ Barner,SEA,TE37,0.0,305.0,2.4,32.7,0.1,77.5
Amari Cooper,LV,WR99,0.0,362.1,2.1,27.3,0.0,76.2
Brian Robinson Jr.,SF,RB61,97.9,72.7,0.5,8.7,1.1,76.2
Noah Gray,KC,TE38,0.0,301.4,2.7,29.6,0.0,75.9
Kendre Miller,NO,RB62,92.1,76.7,0.2,10.3,0.4,73.0
Curtis Samuel,BUF,WR100,6.6,272.2,2.5,27.0,0.1,72.5
Cole Kmet,CHI,TE39,0.0,291.0,2.3,30.2,0.4,72.2
Allen Lazard,NYJ,WR101,0.0,327.9,2.3,25.3,0.1,71.8
Christian Watson,GB,WR102,4.3,366.7,2.3,19.9,0.4,71.6
Greg Dortch,ARI,WR103,4.8,278.7,2.1,28.0,0.4,71.3
Ollie Gordon II,MIA,RB63,77.6,73.8,0.4,9.6,1.1,69.9
Dont'e Thornton Jr.,LV,WR104,0.0,328.5,2.0,25.1,0.1,69.8
Raheem Mostert,LV,RB64,77.2,115.5,0.5,15.6,0.8,68.9
Anthony Miller,BAL,WR105,0.0,276.9,2.6,25.3,0.0,68.5
Blake Corum,LAR,RB65,84.2,94.0,0.3,12.7,0.4,68.0
Malik Washington,MIA,WR106,2.0,288.9,1.8,27.5,0.6,67.9
Austin Hooper,NE,TE40,0.0,286.6,1.8,28.7,0.4,67.4
Ty Johnson,BUF,RB66,44.9,165.3,1.4,15.2,0.1,66.4
Michael Mayer,LV,TE41,0.0,262.3,1.8,28.5,0.1,65.3
Miles Sanders,DAL,RB67,93.4,62.0,0.3,10.0,0.5,64.7
Van Jefferson,TEN,WR107,0.0,300.6,1.9,23.4,0.1,64.4
Roman Wilson,PIT,WR108,0.0,290.2,2.0,22.9,0.1,63.6
Devaughn Vele,NO,WR109,0.0,269.2,1.9,25.2,0.1,63.4
Keaton Mitchell,BAL,RB68,66.0,85.5,0.5,9.1,0.0,63.0
Samaje Perine,CIN,RB69,41.2,155.1,0.9,17.8,0.7,62.5
Harold Fannin Jr.,CLE,TE42,0.0,268.3,1.5,27.2,0.4,62.2
Parker Washington,JAC,WR110,0.0,261.6,1.6,24.7,0.1,61.0
Antonio Gibson,NE,RB70,51.4,132.7,0.5,16.4,0.0,60.1
JuJu Smith-Schuster,KC,WR111,0.0,255.6,1.8,23.1,0.1,59.1
Foster Moreau,NO,TE43,0.0,251.7,1.8,22.4,0.1,58.5
Tim Patrick,DET,WR112,0.0,256.5,2.0,20.5,0.1,57.8
Robbie Ouzts,SEA,TE44,0.0,245.9,1.5,25.0,0.5,57.8
Dawson Knox,BUF,TE45,0.0,238.6,1.9,21.9,0.0,57.2
Terrance Ferguson,LAR,TE46,0.0,235.2,1.9,23.0,0.4,57.0
Chris Rodriguez Jr.,WAS,RB71,70.4,33.4,0.1,4.4,0.4,56.5
Jaylin Noel,HOU,WR113,0.0,249.2,1.4,21.6,0.0,56.2
Tai Felton,MIN,WR114,0.0,241.8,1.9,20.1,0.0,55.8
Kenneth Gainwell,PIT,RB72,58.5,88.5,0.4,12.5,0.4,55.4
Jalen McMillan,TB,WR115,1.4,224.7,2.3,17.9,0.4,54.4
Tyler Johnson,NYJ,WR116,0.0,227.5,1.7,21.5,0.0,54.3
Jaleel McLaughlin,DEN,RB73,35.3,108.5,0.9,18.0,0.5,53.9
KaVontae Turpin,DAL,WR117,8.4,206.0,1.4,17.0,0.7,53.5
Jamari Thrash,CLE,WR118,0.0,251.4,1.2,21.0,0.2,53.2
Chimere Dike,TEN,WR119,2.1,222.9,1.6,18.4,0.1,51.2
Kyle Monangai,CHI,RB74,42.0,45.6,0.1,6.4,0.1,51.2
Zamir White,LV,RB75,56.2,71.0,0.3,10.0,0.0,50.6
Isaac Guerendo,SF,RB76,52.2,67.3,0.1,7.5,0.4,50.3
Jarquez Hunter,LAR,RB77,57.1,61.0,0.4,7.1,0.7,49.5
Josh Oliver,MIN,TE47,0.0,203.0,1.6,19.4,0.1,49.4
Luke McCaffrey,WAS,WR120,0.0,206.6,1.5,19.7,0.1,49.3
Trevor Etienne,CAR,RB78,47.8,86.5,0.4,10.7,0.4,49.0
Tahj Brooks,CIN,RB79,48.8,73.3,0.5,9.2,0.7,48.8
Devin Singletary,NYG,RB80,52.1,63.5,0.1,9.4,0.4,48.6
Jermaine Burton,CIN,WR121,0.0,205.9,2.0,15.8,0.1,48.2
Oronde Gadsden II,LAC,TE48,0.0,195.2,1.6,19.1,0.1,47.9
Demarcus Robinson,SF,WR122,0.0,217.8,1.9,13.9,0.0,47.3
Tommy Tremble,CAR,TE49,0.0,184.1,1.7,19.2,0.4,47.0
Gunnar Helm,TEN,TE50,0.0,200.8,1.1,20.2,0.4,46.3
Luke Musgrave,GB,TE51,0.0,186.4,1.4,19.1,0.0,46.2
Will Shipley,PHI,RB81,37.4,61.8,0.4,8.3,0.1,45.1
Khalil Herbert,IND,RB82,60.4,43.8,0.2,7.7,0.0,44.2
Emanuel Wilson,GB,RB83,32.7,67.2,0.6,9.2,0.5,43.6
Elijah Mitchell,KC,RB84,60.5,40.6,0.4,7.2,0.1,43.5
Devin Neal,NO,RB85,39.1,53.1,0.4,7.2,0.1,43.2
Kendrick Bourne,NE,WR123,1.1,195.1,1.0,16.9,0.0,43.1
Zay Jones,ARI,WR124,0.0,179.9,1.3,16.8,0.1,42.5
Skyy Moore,SF,WR125,0.0,185.2,1.4,15.5,0.0,42.3
Ben Sinnott,WAS,TE52,0.0,166.7,1.4,16.8,0.1,41.8
Brock Wright,DET,TE53,0.0,134.8,2.2,15.0,0.0,41.4
Sean Tucker,TB,RB86,44.8,40.2,0.3,5.2,0.7,41.3
Cade Stover,HOU,TE54,0.0,160.6,1.2,16.9,0.0,40.2
Jahan Dotson,PHI,WR126,0.0,176.4,1.3,14.6,0.0,40.1
A.T. Perry,DEN,WR127,0.0,176.5,1.4,13.5,0.0,39.7
Jeremy Ruckert,NYJ,TE55,0.0,152.2,1.2,17.6,0.0,39.7
Kalif Raymond,DET,WR128,0.0,184.2,1.2,14.7,0.6,39.4
DJ Giddens,IND,RB87,23.6,56.4,0.1,7.6,0.0,37.9
Elijah Moore,BUF,WR129,0.0,160.1,1.2,14.5,0.0,37.9
Xavier Hutchinson,HOU,WR130,0.0,171.9,1.0,14.6,0.1,37.5
Isaiah Bond,CLE,WR131,0.0,171.9,1.1,13.8,0.0,37.4
KhaDarel Hodge,ATL,WR132,0.0,176.6,1.0,13.5,0.1,37.1
A.J. Dillon,PHI,RB88,50.1,28.6,0.1,3.6,0.0,35.9
