player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Shemar Jean-Charles,42496,CB,NO,4,82,0,20,1,18.2,80.0,100.0,5.3,4.2,0,1,20.0,47.9,0,20,0.0,0,1,144.6,4,25,30.5,25,0,2,5,1,46,8,2.2,11.5,0,1,15.8,50.0,100.0,16.0,8.0,0,0,0.0,74.9,1,46,0.0,0,0,56.3,3,50,61.0,50,0,2,6,0,83,43,1.7,27.7
Keir Thomas,42509,ED,LA,1,3,0,26,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,4,0,0,0,0,0,0,,,0,0,,,25.0,,,0,0,,61.7,0,,,0,0,0.0,0,3,100.0,12,0,0,0,0,0,0,0.0,
Daniel Thomas,42544,S,JAX,4,28,0,15,0,,,83.3,,,0,0,,61.6,0,,,0,0,0.0,0,5,17.9,6,0,0,0,0,0,0,0.0,,0,2,,,100.0,,,0,0,,59.2,0,,25.0,1,0,0.0,0,19,67.9,19,0,1,0,0,0,0,0.0,
Krys Barnes,42548,LB,ARZ,17,113,0,1,1,-1.0,100.0,71.0,22.0,22.0,0,0,0.0,84.8,0,2,33.3,1,0,79.2,1,22,19.5,31,2,1,1,0,2,3,0.1,2.0,0,5,4.8,80.0,87.1,14.8,11.8,0,0,0.0,55.0,0,13,10.0,1,0,98.3,4,61,54.0,70,3,4,5,0,38,23,0.6,9.5
Nazeeh Johnson,42553,CB,KC,15,329,0,16,0,15.1,68.8,99.1,9.7,6.7,0,1,6.3,41.5,0,47,0.0,0,0,146.4,11,114,34.7,115,1,7,16,2,182,36,1.7,16.5,0,4,12.5,58.6,97.6,9.2,5.4,1,2,6.9,51.9,0,43,4.8,1,1,89.7,17,166,50.5,170,5,16,29,0,270,119,1.7,15.9
Justin Strnad,42659,LB,DEN,14,402,0,10,0,1.0,75.0,67.7,13.0,9.8,0,0,0.0,43.7,0,19,33.3,1,0,125.5,6,84,20.9,124,3,2,8,1,41,49,0.5,6.8,0,6,3.3,77.5,89.8,7.9,6.1,0,1,2.5,57.2,0,35,22.2,6,1,98.4,31,255,63.4,284,11,15,40,0,305,221,1.2,9.8
Chauncey Golston,42718,ED,DAL,17,4,0,9,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,141,2,2,0,0,0,0,,,0,2,,,1.4,,,0,0,,69.0,1,,14.3,1,0,0.0,0,4,100.0,282,5,4,0,0,0,0,0.0,
Nick Bosa,42741,ED,SF,14,6,0,28,0,,,0.0,,,0,1,,60.0,0,,100.0,1,0,0.0,0,0,0.0,107,2,0,0,0,0,0,,,0,2,2.5,100.0,2.3,3.0,3.0,0,0,0.0,62.6,0,7,41.7,5,0,93.8,2,6,100.0,261,9,5,2,0,13,8,2.2,6.5
Troy Pride Jr.,42883,CB,DAL,2,42,0,9,0,6.0,100.0,100.0,17.0,17.0,0,0,0.0,61.3,0,9,50.0,1,0,104.2,1,17,40.5,17,0,1,1,0,9,3,0.5,9.0,0,0,17.5,25.0,100.0,20.0,5.0,0,1,25.0,61.0,0,14,0.0,0,1,41.7,1,21,50.0,21,0,2,4,0,14,12,0.7,14.0
Kristian Fulton,42894,CB,LAC,15,459,0,27,0,17.3,42.9,100.0,14.0,6.0,0,3,21.4,64.4,0,40,0.0,0,1,104.8,6,92,20.0,92,1,2,14,2,92,21,1.1,15.3,0,5,9.5,77.1,100.0,9.7,7.5,2,3,8.6,70.1,1,54,9.4,3,3,105.2,27,279,60.8,279,11,24,35,2,266,76,1.0,9.9
Rashan Gary,42905,ED,GB,17,2,0,12,0,,,0.0,,,0,0,,60.0,0,,50.0,1,0,0.0,0,0,0.0,97,2,1,0,0,0,0,,,0,0,,,0.8,,,0,0,,47.4,0,,100.0,1,0,0.0,0,2,100.0,262,4,0,0,0,0,0,0.0,
Dicaprio Bootle,42913,CB,LAC,1,4,0,27,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,64.3,0,,,0,0,0.0,0,4,100.0,4,0,0,0,0,0,0,0.0,
Khalid Kareem,42993,ED,ATL,2,3,0,2,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,,,0,0,,,33.3,,,0,0,,60.4,0,,,0,0,0.0,0,3,100.0,9,0,0,0,0,0,0,0.0,
Jonathon Cooper,43021,ED,DEN,17,75,0,10,0,2.0,100.0,8.2,15.0,15.0,0,0,0.0,56.1,0,13,50.0,1,0,118.8,1,16,21.3,196,3,1,1,0,13,11,0.9,13.0,0,3,3.9,90.0,19.9,5.4,4.9,0,0,0.0,59.8,0,38,14.3,2,0,104.6,9,53,70.7,267,11,9,10,0,91,56,1.9,10.1
Charvarius Ward,43034,CB,SF,12,389,0,28,0,10.4,47.1,100.0,12.0,5.6,0,0,0.0,52.2,0,22,14.3,1,0,101.1,8,102,26.2,102,0,6,17,2,84,21,0.9,10.5,0,1,13.4,66.7,100.0,12.1,8.1,0,6,20.0,66.3,0,51,5.0,1,4,111.9,20,251,64.5,251,3,18,30,1,311,80,1.3,15.6
Brandon Jones,43049,S,DEN,16,639,0,10,3,5.5,73.7,96.3,13.9,10.2,0,2,10.5,70.9,0,31,3.8,1,2,108.0,14,209,32.7,217,5,22,19,1,123,70,0.6,8.8,0,1,5.8,58.6,97.5,19.2,11.3,0,3,10.3,89.8,3,17,11.4,4,3,30.0,17,347,54.3,356,12,30,29,0,130,83,0.4,7.6
Devin White,43089,LB,HST,7,96,0,13,0,14.5,50.0,57.1,13.0,6.5,0,0,0.0,41.3,0,9,50.0,2,0,62.5,1,16,16.7,28,0,2,2,0,9,5,0.7,9.0,0,0,2.7,57.1,96.7,14.3,8.1,0,0,0.0,61.2,0,7,0.0,0,0,62.2,4,58,60.4,60,3,4,7,0,19,8,0.3,4.8
Jeremy Chinn,43179,S,WAS,17,550,0,32,0,6.9,78.9,94.6,11.6,9.2,0,2,10.5,62.1,0,23,7.1,1,1,123.5,15,192,34.9,203,7,13,19,2,99,36,0.6,6.6,0,4,9.0,76.9,93.7,14.0,10.8,1,2,7.7,64.5,1,39,20.0,5,2,127.1,20,295,53.6,315,6,16,26,3,240,111,0.9,12.0
Mack Wilson Sr.,43190,LB,ARZ,16,272,0,1,0,9.3,66.7,31.8,14.0,9.3,0,0,0.0,55.2,0,16,0.0,0,0,88.2,2,28,10.3,88,0,2,3,0,22,12,0.8,11.0,0,7,2.2,85.2,72.6,9.0,7.6,1,1,3.7,63.8,1,28,3.8,1,1,78.7,23,217,79.8,299,3,18,27,0,178,147,0.9,7.7
Richie Grant,43196,S,ATL,11,120,0,2,0,,,100.0,,,0,0,,66.0,0,,0.0,0,0,0.0,0,19,15.8,19,0,1,0,0,0,0,0.0,,0,0,5.1,83.3,88.1,5.6,4.7,0,0,0.0,34.2,0,29,25.0,2,0,99.7,10,59,49.2,67,2,6,12,0,95,74,1.7,9.5
Joe Bachie,43250,LB,CIN,8,19,0,7,0,,,100.0,,,0,0,,64.9,0,,0.0,0,0,0.0,0,3,15.8,3,1,1,0,0,0,0,0.0,,0,0,-6.0,100.0,81.8,9.0,9.0,0,0,0.0,68.3,0,7,50.0,1,0,95.8,1,9,47.4,11,0,1,1,0,7,13,0.8,7.0
Damar Hamlin,43291,S,BUF,14,511,0,4,0,4.2,80.0,93.7,24.0,19.2,0,0,0.0,61.1,1,11,11.1,1,0,50.4,4,104,20.4,111,2,8,5,0,28,21,0.3,7.0,0,3,9.5,75.0,99.4,19.9,14.9,0,1,5.0,53.8,1,32,8.6,3,1,99.2,15,312,61.1,314,7,29,20,1,186,61,0.6,12.4
Myles Bryant,43336,CB,HST,5,38,0,13,0,5.3,33.3,75.0,7.0,2.3,0,0,0.0,55.4,0,3,,0,0,42.4,1,9,23.7,12,0,0,3,0,3,7,0.4,3.0,0,0,4.3,100.0,83.3,6.7,6.7,0,0,0.0,60.6,0,9,40.0,2,0,93.1,3,20,52.6,24,2,3,3,0,19,6,1.0,6.3
Josh Metellus,43395,S,MIN,17,591,0,18,1,4.7,84.6,82.6,10.0,8.5,0,0,0.0,58.4,0,14,0.0,0,0,90.1,11,119,20.1,144,2,10,13,0,73,30,0.7,6.6,0,5,4.1,76.9,87.0,9.6,7.4,0,1,1.9,52.0,2,98,4.9,2,1,92.8,40,403,68.2,463,10,34,52,1,452,307,1.2,11.3
Nick Niemann,43500,LB,LAC,3,13,0,27,0,,,100.0,,,0,0,,61.0,0,,,0,0,0.0,0,2,15.4,2,0,0,0,0,0,0,0.0,,0,0,5.0,0.0,100.0,,10.0,0,1,100.0,63.6,0,,50.0,1,0,39.6,0,11,84.6,11,0,1,1,0,0,0,0.0,
Alex Highsmith,43507,ED,PIT,11,31,0,25,0,,,2.4,,,0,0,,63.1,0,,0.0,0,0,0.0,0,3,9.7,123,3,1,0,0,0,0,0.0,,0,0,5.0,75.0,15.5,7.7,5.8,0,1,25.0,70.5,0,9,33.3,1,1,84.4,3,26,83.9,168,4,2,4,0,19,14,0.8,6.3
Darrell Baker Jr.,43542,CB,TEN,14,365,0,31,0,10.7,44.4,98.6,15.8,7.0,0,1,11.1,60.0,0,39,50.0,2,1,107.6,4,70,19.2,71,0,2,9,1,68,29,1.1,17.0,0,1,12.5,57.7,100.0,14.8,8.5,0,4,15.4,64.8,0,26,5.3,1,2,76.1,15,234,64.1,234,5,17,26,0,162,69,0.7,10.8
Sam Franklin Jr.,43580,S,CAR,2,2,0,5,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Jake Hansen,43645,LB,HST,6,70,0,13,0,,,77.8,,,0,0,,63.8,0,,,0,0,0.0,0,7,10.0,9,0,0,0,0,0,0,0.0,,0,1,0.6,85.7,90.2,9.0,7.7,0,0,0.0,75.8,0,16,0.0,0,0,85.1,6,55,78.6,61,2,2,7,0,31,21,0.6,5.2
Levi Onwuzurike,43679,DI,DET,16,6,0,11,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,193,1,0,0,0,0,0,,,0,0,11.0,100.0,3.1,3.0,3.0,0,0,0.0,63.5,0,11,20.0,1,0,112.5,2,6,100.0,193,3,4,2,0,22,0,3.7,11.0
Jeffery Simmons,43742,DI,TEN,16,14,0,31,0,,,10.4,,,0,0,,57.9,0,,,0,0,0.0,0,12,85.7,115,0,0,0,0,0,0,0.0,,0,3,,,0.0,,,0,0,,61.8,0,,22.2,2,0,0.0,0,0,0.0,274,5,4,0,0,0,0,,
