player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
D.J. Reed,26940,CB,NYJ,5,10,2.5,2.0,22,0,144.6,4,5,1,46,14,4.6
Anfernee Jennings,25449,ED,NE,6,5,2.5,2.5,19,0,114.6,2,2,0,23,12,4.6
Ivan Pace Jr.,53587,LB,MIN,4,5,2.5,2.5,18,0,79.2,2,2,0,-7,4,-1.4
Tony Jefferson,8361,S,LAC,5,12,2.4,2.0,27,0,82.6,5,6,0,23,15,1.92
Del'Shawn Phillips,57868,LB,HST,2,7,2.3,2.3,13,0,112.5,3,3,0,33,20,4.71
Jaelan Phillips,56902,ED,MIA,2,2,2.0,2.0,17,0,79.2,1,1,0,3,6,1.5
K'Von Wallace,42467,S,SEA,4,4,2.0,2.0,29,0,158.3,2,2,1,79,61,19.75
Curtis Jacobs,129785,LB,NE,2,2,2.0,2.0,19,0,104.2,1,1,0,9,0,4.5
Jared Verse,101912,ED,LA,7,6,2.0,2.0,26,0,81.9,3,3,0,11,12,1.83
Andrew Booth Jr.,99744,CB,DAL,5,6,2.0,2.0,9,0,150.7,3,3,1,32,2,5.33
Jaylon Jones,49374,CB,CHI,1,2,2.0,2.0,6,0,118.8,1,1,0,14,3,7.0
Darrick Forrest,55087,S,WAS,1,2,2.0,2.0,32,0,79.2,1,1,0,3,1,1.5
D.J. Wonnum,44550,ED,CAR,2,2,2.0,2.0,5,0,83.3,1,1,0,4,0,2.0
Joe Tryon-Shoyinka,58272,ED,TB,4,4,2.0,2.0,30,0,79.2,2,2,0,2,9,0.5
Qwan'tez Stiggers,169764,CB,NYJ,2,2,2.0,2.0,22,0,100.0,1,1,0,8,1,4.0
Cam Smith,98837,CB,MIA,2,4,2.0,2.0,17,0,112.5,2,2,0,22,2,5.5
Mykal Walker,57834,LB,WAS,3,3,1.5,1.5,32,0,118.8,2,2,0,47,30,15.67
Tre Flowers,49059,CB,IND,1,3,1.5,1.5,14,0,100.0,2,2,0,16,10,5.33
Charles Harris,11777,ED,PHI,5,4,1.3,1.3,24,0,118.8,3,3,0,40,31,10.0
Kyle Van Noy,8675,ED,BLT,1,1,1.0,1.0,3,0,118.8,1,1,0,26,6,26.0
Brian Asamoah II,77195,LB,MIN,1,2,1.0,1.0,18,0,118.8,2,2,0,28,16,14.0
Joshua Uche,27379,ED,KC,1,1,1.0,1.0,16,0,116.7,1,1,0,12,7,12.0
Eku Leota,82363,ED,PIT,1,1,1.0,1.0,25,0,79.2,1,1,0,3,6,3.0
Bryce Huff,27128,ED,PHI,1,1,1.0,1.0,24,0,79.2,1,1,0,1,5,1.0
Anthony Pittman,94372,LB,DET,1,1,1.0,1.0,11,0,118.8,1,1,0,20,13,20.0
