player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Yaya Diaby,122705,ED,TB,17,0,0,30,77.3,13,46,426,83.1,17.4,74,3,8.3,6,537,446,65,0,85.0,7,30,195,83.7,24.1,47,11.5,4,245,205,41
Evan Anderson,123590,DI,SF,12,0,0,28,63.3,1,4,109,100.0,3.7,4,1,3.2,1,115,115,6,0,78.6,1,3,34,100.0,8.8,3,8.8,1,36,36,5
Art Green,123666,CB,NYG,2,0,0,21,56.2,0,0,1,3.7,0.0,0,0,0.0,0,27,1,0,0,,0,0,0,0.0,,0,,0,15,0,0
Will Anderson Jr.,123903,ED,HST,14,1,0,13,75.9,8,31,346,97.6,16.5,57,1,9.1,12,374,365,51,0,77.4,4,19,167,98.9,21.6,36,12.9,10,183,181,33
Brian Branch,123907,S,DET,16,0,0,11,91.0,5,4,28,5.0,17.9,5,9,19.6,1,624,31,10,0,90.0,2,1,14,4.4,14.3,2,17.9,1,319,14,4
Chris Braswell,123908,ED,TB,17,0,0,30,66.6,5,11,166,84.6,13.3,22,1,6.6,3,214,181,19,0,69.2,3,9,99,88.3,18.2,18,8.1,2,120,106,14
Drew Sanders,123933,LB,DEN,3,0,0,10,70.1,0,0,2,15.4,0.0,0,0,50.0,1,13,2,1,0,72.2,0,0,1,14.3,0.0,0,100.0,1,7,1,1
Jalen Carter,124019,DI,PHI,16,6,1,24,81.5,12,36,509,99.4,12.2,62,4,5.7,5,544,541,53,3,79.5,4,24,228,100.0,16.2,37,7.9,4,247,247,32
Kelee Ringo,124035,CB,PHI,11,0,0,24,58.5,0,0,1,1.4,0.0,0,0,0.0,0,70,1,0,0,,0,0,0,0.0,,0,,0,38,0,0
Andru Phillips,124075,CB,NYG,14,0,0,21,66.9,0,3,18,5.1,11.1,2,2,13.9,1,353,18,4,0,74.5,0,2,6,3.5,16.7,1,16.7,0,170,6,2
